Sample in Buffer,Sample in Window,TRIGGER,dbg_txdata[31:0],dbg_txdatak[3:0],debug_state[20:0],dbg_rxstatus[2:0],dbg_rxdata[31:0],dbg_rxdatak[3:0],pcie_phy_top_inst/pcie_ltssm_downstream_inst/ordered_set_sent_cnt_r[15:0],pcie_phy_top_inst/pcie_ltssm_downstream_inst/gen_cnt_ts1[0].ts1_cnt[7:0],pcie_phy_top_inst/phy_receive_inst/gen_lane_descramble[0].ordered_set_handler_inst/curr_state[7:0],pipe_wrapper_i/rxvalid_cnt[4:0],dbg_phystatus,dbg_rxelecidle,dbg_txdetectrx,dbg_txelecidle,pipe_wrapper_i/gt_rxvalid,pcie_phy_top_inst/pcie_ltssm_downstream_inst/link_idle_satisfied,link_up,pipe_wrapper_i/rst_idle_reg,pcie_phy_top_inst/pcie_ltssm_downstream_inst/single_idle_received,pcie_phy_top_inst/ordered_set_tranmitted
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
10232,10232,0,00004545,0,000042,0,00005eff,0,4236,00,01,10,0,0,0,0,1,0,0,1,0,0
10233,10233,0,00004545,0,000042,0,00004a00,0,4236,00,01,10,0,0,0,0,1,0,0,1,0,0
10234,10234,0,00004545,0,000042,0,00004a4a,0,4236,00,01,10,0,0,0,0,1,0,0,1,0,0
10235,10235,0,00004545,0,000042,0,00004a4a,0,4236,00,01,10,0,0,0,0,1,0,0,1,0,0
10236,10236,0,0000f7bc,3,000042,0,00004a4a,0,4236,00,01,10,0,0,0,0,1,0,0,1,0,0
10237,10237,0,0000fff7,1,000042,0,00004a4a,0,4236,00,01,10,0,0,0,0,1,0,0,1,0,0
10238,10238,0,00000002,0,000042,0,0000bc4a,2,4236,00,01,10,0,0,0,0,1,0,0,1,0,0
10239,10239,0,00004545,0,000042,0,0000f7f7,3,4236,00,01,10,0,0,0,0,1,0,0,1,0,1
10240,10240,0,00004545,0,000042,0,00005eff,0,4237,00,01,10,0,0,0,0,1,0,0,1,0,0
10241,10241,0,00004545,0,000042,0,00004a00,0,4237,00,01,10,0,0,0,0,1,0,0,1,0,0
10242,10242,0,00004545,0,000042,0,00004a4a,0,4237,00,01,10,0,0,0,0,1,0,0,1,0,0
10243,10243,0,00004545,0,000042,0,00004a4a,0,4237,00,01,10,0,0,0,0,1,0,0,1,0,0
10244,10244,0,0000f7bc,3,000042,0,00004a4a,0,4237,00,01,10,0,0,0,0,1,0,0,1,0,0
10245,10245,0,0000fff7,1,000042,0,00004a4a,0,4237,00,01,10,0,0,0,0,1,0,0,1,0,0
10246,10246,0,00000002,0,000042,0,0000bc4a,2,4237,00,01,10,0,0,0,0,1,0,0,1,0,0
10247,10247,0,00004545,0,000042,0,0000f7f7,3,4237,00,01,10,0,0,0,0,1,0,0,1,0,1
10248,10248,0,00004545,0,000042,0,00005eff,0,4238,00,01,10,0,0,0,0,1,0,0,1,0,0
10249,10249,0,00004545,0,000042,0,00004a00,0,4238,00,01,10,0,0,0,0,1,0,0,1,0,0
10250,10250,0,00004545,0,000042,0,00004a4a,0,4238,00,01,10,0,0,0,0,1,0,0,1,0,0
10251,10251,0,00004545,0,000042,0,00004a4a,0,4238,00,01,10,0,0,0,0,1,0,0,1,0,0
10252,10252,0,0000f7bc,3,000042,0,00004a4a,0,4238,00,01,10,0,0,0,0,1,0,0,1,0,0
10253,10253,0,0000fff7,1,000042,0,00004a4a,0,4238,00,01,10,0,0,0,0,1,0,0,1,0,0
10254,10254,0,00000002,0,000042,0,0000bc4a,2,4238,00,01,10,0,0,0,0,1,0,0,1,0,0
10255,10255,0,00004545,0,000042,0,0000f7f7,3,4238,00,01,10,0,0,0,0,1,0,0,1,0,1
10256,10256,0,00004545,0,000042,0,00005eff,0,4239,00,01,10,0,0,0,0,1,0,0,1,0,0
10257,10257,0,00004545,0,000042,0,00004a00,0,4239,00,01,10,0,0,0,0,1,0,0,1,0,0
10258,10258,0,00004545,0,000042,0,00004a4a,0,4239,00,01,10,0,0,0,0,1,0,0,1,0,0
10259,10259,0,00004545,0,000042,0,00004a4a,0,4239,00,01,10,0,0,0,0,1,0,0,1,0,0
10260,10260,0,0000f7bc,3,000042,0,00004a4a,0,4239,00,01,10,0,0,0,0,1,0,0,1,0,0
10261,10261,0,0000fff7,1,000042,0,00004a4a,0,4239,00,01,10,0,0,0,0,1,0,0,1,0,0
10262,10262,0,00000002,0,000042,0,0000bc4a,2,4239,00,01,10,0,0,0,0,1,0,0,1,0,0
10263,10263,0,00004545,0,000042,0,0000f7f7,3,4239,00,01,10,0,0,0,0,1,0,0,1,0,1
10264,10264,0,00004545,0,000042,0,00005eff,0,423a,00,01,10,0,0,0,0,1,0,0,1,0,0
10265,10265,0,00004545,0,000042,0,00004a00,0,423a,00,01,10,0,0,0,0,1,0,0,1,0,0
10266,10266,0,00004545,0,000042,0,00004a4a,0,423a,00,01,10,0,0,0,0,1,0,0,1,0,0
10267,10267,0,00004545,0,000042,0,00004a4a,0,423a,00,01,10,0,0,0,0,1,0,0,1,0,0
10268,10268,0,0000f7bc,3,000042,0,00004a4a,0,423a,00,01,10,0,0,0,0,1,0,0,1,0,0
